コード,銘柄名,業種名,次回権利付き確定日,前日終値,予想配当利回り
1301,"Kyokuyo Co., Ltd.",Consumer Defensive,1711584000,3730.0,0.024
1414,"SHO-BOND Holdings Co.,Ltd.",Industrials,1703721600,5638.0,0.026099999
1419,"Tama Home Co., Ltd.",Consumer Cyclical,1717027200,3320.0,0.109799996
1420,Sanyo Homes Corporation,Consumer Cyclical,1711584000,720.0,0.0698
1518,"Mitsui Matsushima Holdings Co., Ltd.",Energy,1711584000,2667.0,0.030299999
1605,Inpex Corporation,Energy,1703721600,2171.5,0.0341
1663,K&O Energy Group Inc.,Utilities,1703721600,2411.0,0.014199999
1719,Hazama Ando Corporation,Industrials,1711584000,1139.0,0.052699998
1766,Token Corporation,Real Estate,1714089600,7760.0,0.0326
1801,Taisei Corporation,Industrials,1711584000,5009.0,0.026099999
1802,Obayashi Corporation,Industrials,1711584000,1257.0,0.0332
1820,"Nishimatsu Construction Co., Ltd.",Industrials,1711584000,3484.0,0.053400002
1911,"Sumitomo Forestry Co., Ltd.",Consumer Cyclical,1703721600,3450.0,0.0374
1925,"Daiwa House Industry Co., Ltd.",Real Estate,1711584000,4031.0,0.0357
1928,"Sekisui House, Ltd.",Consumer Cyclical,1706572800,2890.0,0.040799998
1934,Yurtec Corporation,Industrials,1711584000,942.0,0.0299
1938,"Nippon Rietec Co.,Ltd.",Technology,1711584000,1264.0,0.024500001
1941,Chudenko Corporation,Industrials,1711584000,2395.0,0.0434
1944,Kinden Corporation,Industrials,1711584000,2116.5,0.0191
1951,"EXEO Group, Inc.",Industrials,1711584000,3007.0,0.0401
1952,"Shin Nippon Air Technologies Co., Ltd.",Industrials,1711584000,2298.0,0.044
2053,"Chubu Shiryo Co., Ltd.",Consumer Defensive,1711584000,1070.0,0.0317
2114,Fuji Nihon Seito Corporation,Consumer Defensive,1711584000,903.0,0.033299997
2229,"Calbee, Inc.",Consumer Defensive,1711584000,2723.5,0.0397
2269,"Meiji Holdings Co., Ltd.",Consumer Defensive,1711584000,3696.0,0.0257
2270,"MEGMILK SNOW BRAND Co.,Ltd.",Consumer Defensive,1711584000,2301.0,0.0257
2331,"Sohgo Security Services Co.,Ltd.",Industrials,1711584000,862.3,0.02
2337,Ichigo Inc.,Real Estate,1709078400,332.0,0.048600003
2353,"NIPPON PARKING DEVELOPMENT Co.,Ltd.",Industrials,1722297600,210.0,0.0514
2393,"Nippon Care Supply Co., Ltd.",Industrials,1711584000,1685.0,0.083000004
2461,"FAN Communications, Inc.",Communication Services,1703721600,399.0,0.0952
